Shedulers - wykonywanie zadań w odstępie czasu,2016.07.01 piątek
"Książka ""Python For Everyone"" - zabójcza cena.",2016.07.16 sobota
Bitly_API on Python 3,2017.01.01 niedziela
Newslettery na temat Pythona,2016.06.24 piątek
Nieoficjalne repozytorium wersji binarnych Pythona dla Ubuntu i Linux Mint,2016.01.30 sobota
Open Browser czyli przeglądarka Web w Pythonie,2016.05.21 sobota
"12 Portali, które uczą programowania za darmo (według Fortune)",2016.05.22 niedziela
http-prompt - interaktywna linia komend HTTP w Pythonie,2016.05.22 niedziela
httpie - narzędzie w stylu cURL,2016.05.22 niedziela
Python Prompt Toolkit,2016.05.22 niedziela
urlparse przykład,2016.05.22 niedziela
PyCon 2016 nagrania video na YouTube,2016.06.01 środa
Listy darmowych ebooków na temat Pythona,2016.05.27 piątek
Dzień Informatyka 2016,2016.06.06 poniedziałek
Różności - Python - 2016.06.12,2016.06.12 niedziela
Wyniki ankiety PyCharm,2016.06.14 wtorek
"Promocja 45% ""Złota 10-tka"" w helion.pl",2016.06.14 wtorek
Książki w przygotowaniu,2016.06.24 piątek
Promocja 45% na ebooki w ebookpoint.pl,2016.06.15 środa
Helion promocja Wakacje [2016],2016.06.24 piątek
